"ntree","test_Er","train_Er"
258,0.352941176470588,0
259,0.196078431372549,0
260,0.333333333333333,0
261,0.254901960784314,0
262,0.372549019607843,0
263,0.294117647058823,0
264,0.254901960784314,0
265,0.333333333333333,0
266,0.352941176470588,0
267,0.254901960784314,0
268,0.196078431372549,0
269,0.352941176470588,0
270,0.196078431372549,0
271,0.215686274509804,0
272,0.333333333333333,0
273,0.235294117647059,0
274,0.294117647058823,0
275,0.254901960784314,0
276,0.254901960784314,0
277,0.411764705882353,0
278,0.196078431372549,0
279,0.333333333333333,0
280,0.294117647058823,0
281,0.235294117647059,0
282,0.313725490196078,0
283,0.196078431372549,0
284,0.274509803921569,0
285,0.294117647058823,0
286,0.294117647058823,0
287,0.254901960784314,0
288,0.274509803921569,0
289,0.196078431372549,0
290,0.196078431372549,0
291,0.392156862745098,0
292,0.215686274509804,0
293,0.313725490196078,0
294,0.294117647058823,0
295,0.196078431372549,0
296,0.215686274509804,0
297,0.196078431372549,0
298,0.274509803921569,0
299,0.333333333333333,0
300,0.372549019607843,0
301,0.372549019607843,0
302,0.313725490196078,0
303,0.313725490196078,0
304,0.274509803921569,0
305,0.196078431372549,0
306,0.294117647058823,0
307,0.274509803921569,0
308,0.196078431372549,0
309,0.254901960784314,0
310,0.196078431372549,0
311,0.254901960784314,0
312,0.196078431372549,0
313,0.235294117647059,0
314,0.254901960784314,0
315,0.215686274509804,0
316,0.372549019607843,0
317,0.274509803921569,0
318,0.274509803921569,0
319,0.235294117647059,0
320,0.294117647058823,0
321,0.352941176470588,0
322,0.333333333333333,0
323,0.392156862745098,0
324,0.352941176470588,0
325,0.254901960784314,0
326,0.294117647058823,0
327,0.215686274509804,0
328,0.352941176470588,0
329,0.215686274509804,0
330,0.235294117647059,0
331,0.254901960784314,0
332,0.274509803921569,0
333,0.215686274509804,0
334,0.215686274509804,0
335,0.333333333333333,0
336,0.215686274509804,0
337,0.294117647058823,0
338,0.313725490196078,0
339,0.352941176470588,0
340,0.235294117647059,0
341,0.274509803921569,0
342,0.254901960784314,0
343,0.294117647058823,0
344,0.215686274509804,0
345,0.196078431372549,0
346,0.333333333333333,0
347,0.215686274509804,0
348,0.294117647058823,0
349,0.294117647058823,0
350,0.235294117647059,0
351,0.313725490196078,0
352,0.196078431372549,0
353,0.294117647058823,0
354,0.235294117647059,0
355,0.333333333333333,0
356,0.235294117647059,0
357,0.313725490196078,0
358,0.215686274509804,0
359,0.411764705882353,0
360,0.274509803921569,0
361,0.196078431372549,0
362,0.254901960784314,0
363,0.352941176470588,0
364,0.333333333333333,0
365,0.313725490196078,0
366,0.294117647058823,0
367,0.274509803921569,0
368,0.215686274509804,0
369,0.254901960784314,0
370,0.215686274509804,0
371,0.235294117647059,0
372,0.254901960784314,0
373,0.196078431372549,0
374,0.274509803921569,0
375,0.294117647058823,0
376,0.254901960784314,0
377,0.294117647058823,0
378,0.313725490196078,0
379,0.294117647058823,0
380,0.235294117647059,0
381,0.333333333333333,0
382,0.215686274509804,0
383,0.196078431372549,0
384,0.215686274509804,0
385,0.215686274509804,0
386,0.274509803921569,0
387,0.333333333333333,0
388,0.215686274509804,0
389,0.254901960784314,0
390,0.235294117647059,0
391,0.352941176470588,0
392,0.313725490196078,0
393,0.235294117647059,0
394,0.196078431372549,0
395,0.215686274509804,0
396,0.313725490196078,0
397,0.215686274509804,0
398,0.274509803921569,0
399,0.254901960784314,0
400,0.215686274509804,0
